,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,multi,Nation
0,1,1,0,0,20176103,돈,2019-03-20,615229510,87.7,-1403378550,-69.5,23409462572,78882,-149409,-65.4,2748521,1082,5258,2019-04-01,N,K
1,1,2,0,0,20185352,어스,2019-03-27,599350720,67.5,-1392242130,-69.9,8498894625,73248,-145371,-66.5,1009675,1028,4853,2019-04-01,N,F
2,1,3,0,0,20183773,장난스런 키스,2019-03-27,160760250,76.9,-257657790,-61.6,1534765918,20766,-30241,-59.3,193705,491,1257,2019-04-01,Y,F
3,2,4,1,0,20181877,캡틴 마블,2019-03-06,150846810,17.0,-423350630,-73.7,49425586053,19069,-48118,-71.6,5560021,557,1718,2019-04-01,N,F
4,3,5,-1,0,20196025,덤보,2019-03-27,91770550,10.3,-576289690,-86.3,1808738802,11698,-68889,-85.5,224534,565,1504,2019-04-01,N,F
5,2,6,0,0,20197846,악질경찰,2019-03-20,23995780,3.4,-32240330,-57.3,2219251578,3091,-3288,-51.5,257542,305,461,2019-04-01,N,K
6,3,7,0,1,20180825,미성년,2019-04-11,27810000,4.0,27810000,100.0,27810000,3090,3090,100.0,3090,9,9,2019-04-01,N,K
7,4,8,0,0,20198146,콜레트,2019-03-27,23511590,2.6,-20689470,-46.8,207461801,3055,-1973,-39.2,25396,161,271,2019-04-01,N,F
8,4,9,-1,0,20166301,썬키스 패밀리,2019-03-27,16788700,2.4,-27780010,-62.3,221244570,2254,-2956,-56.7,28340,349,561,2019-04-01,N,K
9,2,10,0,0,20197987,더 길티,2019-03-27,16031700,7.7,-21286300,-57.0,199834300,1939,-2058,-51.5,24030,106,245,2019-04-01,Y,F
10,5,11,-1,0,20175407,우상,2019-03-20,12519650,1.8,-21878850,-63.6,1521992698,1521,-2337,-60.6,177002,212,285,2019-04-01,N,K
11,3,12,5,0,20185576,콜드 체이싱,2019-02-20,775000,0.4,505000,187.0,771497607,740,488,193.7,98421,4,6,2019-04-01,Y,F
12,4,13,0,0,20184574,그린 북,2019-01-09,4649050,2.2,-7965050,-63.1,3547705660,690,-1073,-60.9,420299,27,46,2019-04-01,Y,F
13,5,14,0,0,20198123,아틱,2019-03-27,4686600,2.2,-5846430,-55.5,58254580,639,-639,-50.0,7202,83,115,2019-04-01,Y,F
14,5,15,0,1,20198104,바이스,2019-04-11,4864000,0.5,4864000,100.0,19093600,608,608,100.0,2166,2,2,2019-04-01,N,F
15,6,16,-1,0,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,3905280,0.4,-11792770,-75.1,305251700,497,-1283,-72.1,34153,53,64,2019-04-01,N,F
16,7,17,-1,0,20197283,이스케이프 룸,2019-03-14,2924600,0.3,-4177000,-58.8,5001400884,380,-429,-53.0,562192,43,65,2019-04-01,N,F
17,8,18,0,0,20198385,반역자, ,756000,0.1,-220000,-22.5,3808000,378,-110,-22.5,1904,1,5,2019-04-01,N,F
18,6,19,0,1,20080314,아비정전,1990-12-22,3069600,1.5,3069600,100.0,134431600,367,367,100.0,19376,5,5,2019-04-01,Y,F
19,1,20,0,1,20197092,로망,2019-04-03,3117000,29.0,3117000,100.0,61705500,357,357,100.0,6729,3,3,2019-04-01,Y,K
20,2,21,-1,0,20197483,1919 유관순,2019-03-14,2816000,26.2,-6036000,-68.2,393138410,348,-760,-68.6,47206,5,5,2019-04-01,Y,K
21,7,22,-1,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,2511750,1.2,-3882750,-60.7,34136630,334,-426,-56.1,4194,32,40,2019-04-01,Y,F
22,3,23,-1,0,20188117,강변호텔,2019-03-27,2527100,23.5,-3338550,-56.9,29430036,329,-376,-53.3,3722,40,70,2019-04-01,Y,K
