,Unnamed: 0,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,multi,Nation
0,0,1,1,0,0,20176103,돈,2019-03-20,615229510,87.7,-1403378550,-69.5,23409462572,78882,-149409,-65.4,2748521,1082,5258,2019-04-01,N,K
40,40,1,1,0,0,20176103,돈,2019-03-20,489802630,87.9,-125426880,-20.4,23899265202,61621,-17261,-21.9,2810142,1082,5189,2019-04-02,N,K
82,82,2,3,-1,0,20176103,돈,2019-03-20,329226320,46.9,-160576310,-32.8,24228491522,41265,-20356,-33.0,2851407,668,2595,2019-04-03,N,K
122,122,2,3,0,0,20176103,돈,2019-03-20,291111550,44.5,-38114770,-11.6,24519603072,35902,-5363,-13.0,2887309,686,2585,2019-04-04,N,K
162,162,2,3,0,0,20176103,돈,2019-03-20,423834434,44.6,132722884,45.6,24943437506,47658,11756,32.7,2934967,709,2719,2019-04-05,N,K
202,202,2,3,0,0,20176103,돈,2019-03-20,897816456,47.1,473982022,111.8,25841253962,99663,52005,109.1,3034630,747,2903,2019-04-06,N,K
242,242,2,3,0,0,20176103,돈,2019-03-20,743336890,44.1,-154479566,-17.2,26584590852,82722,-16941,-17.0,3117352,744,2823,2019-04-07,N,K
282,282,2,3,0,0,20176103,돈,2019-03-20,221142190,39.6,-522194700,-70.3,26805733042,27171,-55551,-67.2,3144523,666,2682,2019-04-08,N,K
321,321,2,2,0,0,20176103,돈,2019-03-20,202541800,37.7,-18600390,-8.4,27008274842,24902,-2269,-8.4,3169425,705,2645,2019-04-09,N,K
362,362,2,3,0,0,20176103,돈,2019-03-20,200445840,35.6,-2095960,-1.0,27208720682,24864,-38,-0.2,3194289,589,2206,2019-04-10,N,K
403,403,3,4,-1,0,20176103,돈,2019-03-20,121591550,20.6,-78854290,-39.3,27330312232,15029,-9835,-39.6,3209318,525,1445,2019-04-11,N,K
443,443,3,4,0,0,20176103,돈,2019-03-20,173443770,21.0,51852220,42.6,27503756002,19989,4960,33.0,3229307,536,1482,2019-04-12,N,K
483,483,3,4,0,0,20176103,돈,2019-03-20,315515980,22.0,142072210,81.9,27819271982,35498,15509,77.6,3264805,561,1554,2019-04-13,N,K
523,523,3,4,0,0,20176103,돈,2019-03-20,337997300,21.3,22481320,7.1,28157269282,37979,2481,7.0,3302784,563,1542,2019-04-14,N,K
563,563,3,4,0,0,20176103,돈,2019-03-20,96079800,20.1,-241917500,-71.6,28253349082,12075,-25904,-68.2,3314859,522,1469,2019-04-15,N,K
603,603,3,4,0,0,20176103,돈,2019-03-20,81036650,12.8,-15043150,-15.7,28334385732,10446,-1629,-13.5,3325305,542,1418,2019-04-16,N,K
645,645,4,6,-1,0,20176103,돈,2019-03-20,65826140,11.5,-15210510,-18.8,28400211872,8177,-2269,-21.7,3333482,433,1086,2019-04-17,N,K
685,685,4,6,0,0,20176103,돈,2019-03-20,52057990,8.4,-13768150,-20.9,28452269862,6667,-1510,-18.5,3340149,394,825,2019-04-18,N,K
725,725,4,6,0,0,20176103,돈,2019-03-20,72485960,9.4,20427970,39.2,28524755822,8613,1946,29.2,3348762,387,851,2019-04-19,N,K
766,766,4,7,0,0,20176103,돈,2019-03-20,139501310,11.1,67015350,92.5,28664257132,15842,7229,83.9,3364604,404,937,2019-04-20,N,K
806,806,4,7,0,0,20176103,돈,2019-03-20,119269360,10.5,-20231950,-14.5,28783526492,13477,-2365,-14.9,3378081,404,914,2019-04-21,N,K
845,845,4,6,0,0,20176103,돈,2019-03-20,38822060,9.3,-80447300,-67.5,28822348552,4859,-8618,-63.9,3382940,371,825,2019-04-22,N,K
885,885,4,6,0,0,20176103,돈,2019-03-20,36035810,8.1,-2786250,-7.2,28858384362,4603,-256,-5.3,3387543,375,804,2019-04-23,N,K
940,940,7,21,-3,0,20176103,돈,2019-03-20,2557250,1.5,-33478560,-92.9,28860941612,403,-4200,-91.2,3387946,34,41,2019-04-24,N,K
986,986,9,27,-2,0,20176103,돈,2019-03-20,1472500,0.6,-1084750,-42.4,28862414112,193,-210,-52.1,3388139,28,31,2019-04-25,N,K
1020,1020,5,21,4,0,20176103,돈,2019-03-20,2265050,0.8,792550,53.8,28864679162,306,113,58.5,3388445,20,24,2019-04-26,N,K
1065,1065,6,26,-1,0,20176103,돈,2019-03-20,1397950,0.1,-867100,-38.3,28866077112,166,-140,-45.8,3388611,16,17,2019-04-27,N,K
1106,1106,7,27,-1,0,20176103,돈,2019-03-20,1283950,0.1,-114000,-8.2,28867361062,148,-18,-10.8,3388759,13,14,2019-04-28,N,K
