,Unnamed: 0,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,multi,Nation
1,1,1,2,0,0,20185352,어스,2019-03-27,599350720,67.5,-1392242130,-69.9,8498894625,73248,-145371,-66.5,1009675,1028,4853,2019-04-01,N,F
41,41,1,2,0,0,20185352,어스,2019-03-27,453415500,63.2,-145935220,-24.3,8952310125,54393,-18855,-25.7,1064068,1015,4714,2019-04-02,N,F
83,83,2,4,-1,0,20185352,어스,2019-03-27,313320250,26.8,-140095250,-30.9,9265630375,37752,-16641,-30.6,1101820,613,2233,2019-04-03,N,F
123,123,2,4,0,0,20185352,어스,2019-03-27,269019160,31.0,-44301090,-14.1,9534649535,32093,-5659,-15.0,1133913,621,2162,2019-04-04,N,F
163,163,2,4,0,0,20185352,어스,2019-03-27,434056128,34.6,165036968,61.3,9968705663,47592,15499,48.3,1181505,658,2293,2019-04-05,N,F
203,203,2,4,0,0,20185352,어스,2019-03-27,866234771,30.6,432178643,99.6,10834940434,95397,47805,100.4,1276902,712,2464,2019-04-06,N,F
243,243,2,4,0,0,20185352,어스,2019-03-27,616188650,28.3,-250046121,-28.9,11451129084,67661,-27736,-29.1,1344563,694,2392,2019-04-07,N,F
283,283,2,4,0,0,20185352,어스,2019-03-27,160791880,33.3,-455396770,-73.9,11611920964,19120,-48541,-71.7,1363683,621,2139,2019-04-08,N,F
323,323,2,4,0,0,20185352,어스,2019-03-27,138272820,31.6,-22519060,-14.0,11750193784,16201,-2919,-15.3,1379884,614,2040,2019-04-09,N,F
365,365,4,6,-2,0,20185352,어스,2019-03-27,115808350,13.6,-22464470,-16.2,11866002134,13768,-2433,-15.0,1393652,483,1412,2019-04-10,N,F
408,408,6,9,-2,0,20185352,어스,2019-03-27,71729250,9.2,-44079100,-38.1,11937731384,8471,-5297,-38.5,1402123,410,891,2019-04-11,N,F
447,447,5,8,1,0,20185352,어스,2019-03-27,109573220,10.6,37843970,52.8,12047304604,12152,3681,43.5,1414275,411,909,2019-04-12,N,F
487,487,5,8,0,0,20185352,어스,2019-03-27,182986540,9.9,73413320,67.0,12230291144,20068,7916,65.1,1434343,406,842,2019-04-13,N,F
529,529,7,10,-2,0,20185352,어스,2019-03-27,151876940,8.3,-31109600,-17.0,12382168084,16560,-3508,-17.5,1450903,384,800,2019-04-14,N,F
568,568,6,9,1,0,20185352,어스,2019-03-27,39057890,8.1,-112819050,-74.3,12421225974,4638,-11922,-72.0,1455541,366,699,2019-04-15,N,F
609,609,6,10,0,0,20185352,어스,2019-03-27,34913550,8.6,-4144340,-10.6,12456139524,4141,-497,-10.7,1459682,349,667,2019-04-16,N,F
654,654,8,15,-2,0,20185352,어스,2019-03-27,15936360,3.2,-18977190,-54.4,12472075884,1884,-2257,-54.5,1461566,153,289,2019-04-17,N,F
698,698,8,19,0,0,20185352,어스,2019-03-27,11814130,2.7,-4122230,-25.9,12483890014,1427,-457,-24.3,1462993,127,221,2019-04-18,N,F
736,736,8,17,0,0,20185352,어스,2019-03-27,20801250,3.1,8987120,76.1,12504691264,2348,921,64.5,1465341,134,233,2019-04-19,N,F
775,775,8,16,0,0,20185352,어스,2019-03-27,34230940,2.9,13429690,64.6,12538922204,3740,1392,59.3,1469081,134,232,2019-04-20,N,F
817,817,9,18,-1,0,20185352,어스,2019-03-27,25614960,2.5,-8615980,-25.2,12564537164,2792,-948,-25.3,1471873,127,221,2019-04-21,N,F
857,857,8,18,1,0,20185352,어스,2019-03-27,7147430,2.2,-18467530,-72.1,12571684594,875,-1917,-68.7,1472748,103,176,2019-04-22,N,F
898,898,8,19,0,0,20185352,어스,2019-03-27,6842510,2.0,-304920,-4.3,12578527104,803,-72,-8.2,1473551,102,174,2019-04-23,N,F
